site,date,AOD
location_11579,2025-01-18,-999.0
location_11579,2025-01-19,-999.0
location_11579,2025-01-20,-999.0
location_11579,2025-01-21,-999.0
location_11579,2025-01-22,-999.0
location_11579,2025-01-23,-999.0
location_11579,2025-01-24,-856.0968
location_11579,2025-01-25,-665.61096
location_11579,2025-01-26,0.3627551
location_11579,2025-01-27,-665.6268
location_11579,2025-01-28,-999.0
location_11579,2025-01-29,-713.22314
location_11579,2025-01-30,-427.7772
location_11579,2025-01-31,-999.0
location_11579,2025-02-01,-999.0
location_11579,2025-02-02,-199.61533
location_11579,2025-02-03,-332.8526
location_11579,2025-02-04,0.2940604
location_11579,2025-02-05,0.30230433
location_11579,2025-02-06,0.4032959
location_11579,2025-02-07,-142.2242
location_11579,2025-02-08,0.7563771
location_11579,2025-02-09,-598.75354
location_11579,2025-02-10,-999.0
location_11579,2025-02-11,-142.25574
location_11579,2025-02-12,0.38130367
location_11579,2025-02-13,0.275113
location_11579,2025-02-14,0.34094605
location_11579,2025-02-15,0.47533187
location_11579,2025-02-16,0.49081445
location_11579,2025-02-17,0.95434
location_11579,2025-02-18,0.5079277
location_11579,2025-02-19,0.5947139
location_11579,2025-02-20,0.32666165
location_11579,2025-02-21,-332.53763
location_11579,2025-02-22,0.86152714
location_11579,2025-02-23,0.5725276
location_11579,2025-02-24,-399.10092
location_11579,2025-02-25,0.7057596
location_11579,2025-02-26,0.59891814
location_11579,2025-02-27,-165.65884
location_11579,2025-02-28,-999.0
location_11579,2025-03-01,-999.0
location_11579,2025-03-02,-999.0
location_11579,2025-03-03,-498.7401
location_11579,2025-03-04,-165.25926
location_11579,2025-03-05,1.4236706
location_11579,2025-03-06,0.70697975
location_11579,2025-03-07,0.71293664
location_11579,2025-03-08,0.6556458
location_11579,2025-03-09,0.64861846
location_11579,2025-03-10,0.92913944
location_11579,2025-03-11,-999.0
location_11579,2025-03-12,-999.0
location_11579,2025-03-13,-199.30466
location_11579,2025-03-14,0.56754774
location_11579,2025-03-15,0.62844324
location_11579,2025-03-16,-832.34906
location_11579,2025-03-17,-665.76514
location_11579,2025-03-18,-499.13806
location_11579,2025-03-19,-832.4157
location_11579,2025-03-20,0.56889135
location_11579,2025-03-21,0.54737496
location_11579,2025-03-22,-999.0
location_11579,2025-03-23,-665.735
location_11579,2025-03-24,-999.0
location_11579,2025-03-25,-249.3897
location_11579,2025-03-26,0.40469503
location_11579,2025-03-27,0.4254666
location_11579,2025-03-28,0.9327476
location_11579,2025-03-29,0.5936678
location_11579,2025-03-30,0.55299264
location_11579,2025-03-31,0.8187941
location_11579,2025-04-01,-332.5587
location_11579,2025-04-02,-499.15982
location_11579,2025-04-03,-999.0
location_11579,2025-04-04,-665.7722
location_11579,2025-04-05,-999.0
location_11579,2025-04-06,-832.1509
location_11579,2025-04-07,-332.55338
location_11579,2025-04-08,-165.94955
location_11579,2025-04-09,-498.82654
location_11579,2025-04-10,-498.93127
location_11579,2025-04-11,-332.14444
location_11579,2025-04-12,-166.13127
location_11579,2025-04-13,-332.527
location_11579,2025-04-14,-665.75946
location_11579,2025-04-15,-499.0967
location_11579,2025-04-16,-999.0
location_11579,2025-04-17,-165.8533
location_11579,2025-04-18,-665.81915
location_11579,2025-04-19,-499.1898
location_11579,2025-04-20,-332.6363
location_11579,2025-04-21,-499.26456
location_11579,2025-04-22,-332.63437
location_11579,2025-04-23,-332.7217
location_11579,2025-04-24,-332.6655
location_11579,2025-04-25,-332.6659
location_11579,2025-04-26,-332.55707
location_11579,2025-04-27,-499.2183
location_11579,2025-04-28,-999.0
location_11579,2025-04-29,-665.76166
location_11579,2025-04-30,-665.7459
location_11579,2025-05-01,-427.58112
location_11579,2025-05-02,-570.60236
location_11579,2025-05-03,-427.80276
location_11579,2025-05-04,-570.5658
location_11579,2025-05-05,-999.0
location_11579,2025-05-06,-427.82797
location_11579,2025-05-07,-570.4687
location_11579,2025-05-08,-427.6827
location_11579,2025-05-09,-427.62866
location_11579,2025-05-10,-713.2948
location_11579,2025-05-11,-999.0
location_11579,2025-05-12,-999.0
location_11579,2025-05-13,-999.0
location_11579,2025-05-14,-713.2404
location_11579,2025-05-15,-427.62103
location_11579,2025-05-16,-855.8652
location_11579,2025-05-17,-999.0
location_11579,2025-05-18,-999.0
location_11579,2025-05-19,-999.0
location_11579,2025-05-20,-999.0
location_11579,2025-05-21,-999.0
location_11579,2025-05-22,-856.00146
location_11579,2025-05-23,-856.17145
location_11579,2025-05-24,-999.0
location_11579,2025-05-25,-999.0
location_11579,2025-05-26,-999.0
location_11579,2025-05-27,-999.0
location_11579,2025-05-28,-999.0
location_11579,2025-05-29,-999.0
location_11579,2025-05-30,-999.0
location_11579,2025-05-31,-999.0
location_11579,2025-06-01,-570.6054
location_11579,2025-06-02,-832.12665
location_11579,2025-06-03,-999.0
location_11579,2025-06-04,-856.11523
location_11579,2025-06-05,-570.5188
location_11579,2025-06-06,-856.13434
location_11579,2025-06-07,-856.09485
location_11579,2025-06-08,-999.0
location_11579,2025-06-09,-856.1105
location_11579,2025-06-10,-999.0
location_11579,2025-06-11,-999.0
location_11579,2025-06-12,-999.0
location_11579,2025-06-13,-999.0
location_11579,2025-06-14,-999.0
location_11579,2025-06-15,-999.0
location_11579,2025-06-16,-999.0
location_11579,2025-06-17,-856.1071
location_11579,2025-06-18,-570.4643
location_234568,2025-01-18,-749.01434
location_234568,2025-01-19,-856.28094
location_234568,2025-01-20,-332.95505
location_234568,2025-01-21,-499.45435
location_234568,2025-01-22,0.13176791
location_234568,2025-01-23,-166.2116
location_234568,2025-01-24,-142.57002
location_234568,2025-01-25,0.1817389
location_234568,2025-01-26,0.28136867
location_234568,2025-01-27,0.33120635
location_234568,2025-01-28,0.3191941
location_234568,2025-01-29,0.4511924
location_234568,2025-01-30,0.36451524
location_234568,2025-01-31,0.24791321
location_234568,2025-02-01,0.3358132
location_234568,2025-02-02,0.2726156
location_234568,2025-02-03,0.26062384
location_234568,2025-02-04,0.6829933
location_234568,2025-02-05,0.5699886
location_234568,2025-02-06,0.32043186
location_234568,2025-02-07,0.26734364
location_234568,2025-02-08,0.31481656
location_234568,2025-02-09,0.29712462
location_234568,2025-02-10,0.4173884
location_234568,2025-02-11,0.3845651
