date,T2M,RH2M,U2M,V2M,PS,site
2025-01-18,297.6224,85.100945,-2.2629302,-4.041762,100667.91,location_11579
2025-01-19,297.252,87.83303,-2.51565,-3.190178,100694.914,location_11579
2025-01-20,296.6003,83.09676,-1.8646487,-2.749383,100648.84,location_11579
2025-01-21,296.7837,80.62135,-1.7931465,-2.0099907,100590.31,location_11579
2025-01-22,297.31598,80.86196,-2.0102963,-1.8823915,100620.164,location_11579
2025-01-23,296.82605,79.717155,-2.0405462,-1.3500718,100606.13,location_11579
2025-01-24,296.3361,79.405975,-1.9947228,-1.498438,100647.37,location_11579
2025-01-25,296.00195,80.10163,-1.9438847,-1.9638175,100702.43,location_11579
2025-01-26,296.62814,81.65072,-1.7930999,-1.6135231,100638.46,location_11579
2025-01-27,296.99942,77.00724,-1.6582035,-1.2023226,100585.09,location_11579
2025-01-28,296.90393,75.47165,-1.8967743,-0.66850895,100680.01,location_11579
2025-01-29,296.43027,78.474495,-1.8665005,-2.1133294,100746.414,location_11579
2025-01-30,297.55234,82.02382,-1.0243155,-1.3697267,100576.54,location_11579
2025-01-31,298.41263,85.892975,-1.7630663,-0.6115401,100561.53,location_11579
2025-02-01,298.21426,81.21396,-1.645464,-0.2024913,100662.1,location_11579
2025-02-02,297.4953,76.323395,-1.1630111,-0.5861415,100664.28,location_11579
2025-02-03,297.39346,69.7289,-0.89725,0.12661298,100726.84,location_11579
2025-02-04,298.3339,65.608086,-0.9994595,-0.338382,100657.305,location_11579
2025-02-05,298.20187,72.881134,-1.4498568,0.040302526,100591.125,location_11579
2025-02-06,298.24136,78.51478,-1.5395988,0.27455646,100631.35,location_11579
2025-02-07,298.08725,75.78356,-1.0868713,-0.022065049,100745.06,location_11579
2025-02-08,298.15982,77.05712,-1.0655879,-0.9194966,100717.04,location_11579
2025-02-09,298.1063,80.886375,-1.8292322,-1.0440956,100698.85,location_11579
2025-02-10,297.96893,77.13728,-1.867803,-1.0259143,100804.125,location_11579
2025-02-11,297.6084,74.46163,-1.2707142,0.07686209,100816.4,location_11579
2025-02-12,297.4546,73.34759,-1.041987,-0.056943458,100787.9,location_11579
2025-02-13,297.2282,73.31019,-0.74790883,1.0695436,100762.97,location_11579
2025-02-14,297.31827,75.392235,-0.5703304,0.8814299,100698.586,location_11579
2025-02-15,297.9703,75.975426,-0.94777846,0.83141524,100625.91,location_11579
2025-02-16,298.39285,76.664696,-1.4291507,0.4679632,100740.086,location_11579
2025-02-17,298.62772,77.36088,-1.6756026,0.8548383,100821.41,location_11579
2025-02-18,298.2954,76.23534,-1.10865,1.194951,100775.66,location_11579
2025-02-19,298.56174,75.912605,-1.5010277,1.1182245,100613.73,location_11579
2025-02-20,298.76773,76.56263,-1.6601782,0.9030907,100729.586,location_11579
2025-02-21,299.1313,76.8186,-1.858449,-0.08803473,100826.18,location_11579
2025-02-22,299.4,71.83491,-1.2673813,0.547352,100862.01,location_11579
2025-02-23,299.50427,70.32593,-1.4355927,-0.11874371,100847.62,location_11579
2025-02-24,299.45566,74.691986,-2.2279546,-1.6686951,100913.555,location_11579
2025-02-25,299.77206,75.3139,-2.7012422,-2.558904,100967.18,location_11579
2025-02-26,299.58908,73.74737,-3.1260278,-2.5899045,100925.18,location_11579
2025-02-27,299.37808,72.06964,-2.728303,-2.1943548,100764.35,location_11579
2025-02-28,299.83994,72.14217,-2.5191786,-2.1140854,100709.51,location_11579
2025-03-01,300.0812,75.88418,-2.4262178,-1.2676765,100588.81,location_11579
2025-03-02,300.4288,75.34306,-1.565071,0.08471169,100506.81,location_11579
2025-03-03,300.33005,70.129105,-0.82449955,0.63796735,100522.74,location_11579
2025-03-04,300.4916,68.967804,-0.9883341,0.9428455,100493.43,location_11579
2025-03-05,300.7287,66.50665,-0.73010015,1.0569009,100493.46,location_11579
2025-03-06,300.48596,64.56718,-0.758949,-1.0426499,100507.53,location_11579
2025-03-07,299.4299,65.105515,-1.0683302,-0.1990636,100459.71,location_11579
2025-03-08,299.43796,69.14608,-1.0077031,1.1420451,100374.43,location_11579
2025-03-09,299.6485,69.603676,-2.2200353,0.27065957,100578.02,location_11579
2025-03-10,300.49344,72.669655,-2.9433048,-1.8496046,100744.75,location_11579
2025-03-11,300.7079,80.63077,-2.8993819,-1.8052058,100707.695,location_11579
2025-03-12,301.2854,77.58143,-1.6687717,-0.16939336,100552.91,location_11579
2025-03-13,301.32156,74.08564,-1.0051216,1.1058236,100433.52,location_11579
2025-03-14,300.93005,73.801865,-1.0992031,2.0070887,100507.03,location_11579
2025-03-15,301.03616,71.35416,-1.2661976,1.5008022,100592.695,location_11579
2025-03-16,301.516,73.007454,-1.0046443,1.523212,100555.27,location_11579
2025-03-17,301.59174,76.06689,-0.9053077,1.9559736,100506.31,location_11579
2025-03-18,301.40576,78.33378,-1.2310882,2.3358822,100550.52,location_11579
2025-03-19,301.6639,73.926384,-2.1171694,2.1792133,100753.26,location_11579
2025-03-20,301.9729,70.15461,-2.2289407,1.9821149,100829.945,location_11579
2025-03-21,302.01746,72.50542,-2.4952905,1.8265907,100797.47,location_11579
2025-03-22,302.41525,72.99762,-2.473717,1.980332,100727.75,location_11579
2025-03-23,302.25284,71.086655,-2.6575758,0.92303616,100725.62,location_11579
2025-03-24,301.80472,68.726234,-2.3696969,0.39474168,100635.71,location_11579
2025-03-25,301.95157,66.12179,-1.5667049,0.89783144,100372.16,location_11579
2025-03-26,302.37305,64.64113,-0.9599007,1.7107348,100301.93,location_11579
2025-03-27,302.76016,59.97092,-0.39983237,1.4044304,100198.44,location_11579
2025-03-28,302.9614,62.809723,-0.18904032,2.0903075,100153.97,location_11579
2025-03-29,302.7481,61.190975,-0.7285828,2.2796264,100179.52,location_11579
2025-03-30,302.02225,66.989265,-1.4078099,2.4481046,100339.99,location_11579
2025-03-31,301.78146,65.817024,-2.1194582,1.9097873,100365.625,location_11579
2025-04-01,300.93835,65.58744,-2.0200198,1.6779232,100349.07,location_11579
2025-04-02,302.63742,66.743706,-1.9424496,1.618535,100443.88,location_11579
2025-04-03,302.18808,67.19112,-1.6005836,1.8040681,100588.51,location_11579
2025-04-04,302.7571,63.244614,-1.7688738,-0.38901162,100516.375,location_11579
2025-04-05,303.05807,66.62174,-1.2146195,0.96136767,100395.695,location_11579
2025-04-06,303.55737,64.735054,-1.7216419,0.44763097,100324.336,location_11579
2025-04-07,303.06345,67.88483,-1.6911964,0.53694886,100381.21,location_11579
2025-04-08,302.84586,67.91182,-1.722129,-2.0123372,100449.54,location_11579
2025-04-09,303.13956,68.05555,-1.4759127,-1.4126134,100287.01,location_11579
2025-04-10,304.666,62.69478,-0.74971324,1.5269111,100021.66,location_11579
2025-04-11,304.77597,63.95769,-0.15738189,1.5592741,100038.31,location_11579
2025-04-12,305.1524,59.817486,-0.15399276,1.2772115,100122.97,location_11579
2025-04-13,304.7861,61.104534,-1.1020736,0.62489206,100232.13,location_11579
2025-04-14,303.9194,62.17574,-1.3129169,1.7240487,100287.26,location_11579
2025-04-15,303.337,67.535324,-1.0550517,2.7689497,100294.37,location_11579
2025-04-16,302.86838,70.278404,-1.0262359,2.6387422,100309.53,location_11579
2025-04-17,303.24966,70.679375,-0.7106826,2.8300667,100191.555,location_11579
2025-04-18,303.66394,71.36338,-0.33110422,3.3623102,100150.99,location_11579
2025-04-19,304.03146,71.6206,-0.6560385,2.3319817,100102.74,location_11579
2025-04-20,303.86066,72.660736,-0.34706935,2.8222654,100169.91,location_11579
2025-04-21,302.83566,75.30602,-0.7169118,1.992503,100368.98,location_11579
2025-04-22,303.90872,67.30003,-1.0432893,2.666178,100415.71,location_11579
2025-04-23,303.78317,65.69535,-0.43585148,2.8465545,100220.23,location_11579
2025-04-24,303.3234,70.554634,-0.84134126,2.683305,100178.57,location_11579
2025-04-25,303.93082,70.650276,-1.2573143,2.9261715,100208.38,location_11579
2025-04-26,303.96085,70.07809,-1.3750858,3.3034058,100242.625,location_11579
2025-04-27,303.47318,70.45164,-1.8124927,2.4671967,100330.18,location_11579
2025-04-28,303.74152,65.64615,-1.7632612,2.074995,100202.195,location_11579
2025-04-29,304.3191,64.77831,-1.6625881,2.1538053,100176.96,location_11579
2025-04-30,304.71442,65.15337,-1.2949218,2.8513262,100211.41,location_11579
2025-05-01,304.89548,64.3375,-1.1121576,2.8455393,100236.02,location_11579
2025-05-02,304.60083,66.04416,-1.1191545,3.2506478,100268.57,location_11579
2025-05-03,304.8379,64.72812,-0.6941902,3.476002,100141.25,location_11579
2025-05-04,303.975,67.68806,-0.7794121,2.4574773,100108.43,location_11579
2025-05-05,303.09543,73.624405,-0.22252445,2.5191996,100143.12,location_11579
2025-05-06,302.9255,76.034294,-0.24446595,2.6788247,100157.0,location_11579
2025-05-07,302.7698,74.28287,-0.20586924,1.992731,100110.27,location_11579
2025-05-08,303.3857,71.72216,-0.57355106,2.3681605,100157.29,location_11579
2025-05-09,302.95145,72.60527,-0.88169926,0.79400235,100208.57,location_11579
2025-05-10,303.99088,68.978874,-0.20799768,2.1556246,100167.65,location_11579
